open,high,low,close,volume
110789.29,110793.21,110722.03,110722.04,17.39602
110722.04,110828.36,110722.03,110815.26,12.60005
110815.26,110872.36,110812.57,110820.35,27.37013
110820.34,110945.39,110750.0,110941.72,54.27605
110941.72,110943.74,110750.82,110750.83,20.71812
110750.83,110782.81,110646.64,110689.75,30.6797
110689.75,110746.0,110660.71,110745.99,6.98761
110746.0,110753.02,110661.89,110661.9,16.19639
110661.89,110710.44,110525.06,110645.34,37.38968
110645.34,110646.65,110551.65,110615.07,20.77728
110615.07,110615.07,110478.0,110550.38,25.62556
110550.39,110564.29,110520.0,110532.22,9.86724
110532.23,110670.99,110532.22,110662.21,23.32265
110662.21,110728.73,110653.97,110721.0,21.0364
110721.0,110794.0,110721.0,110763.55,17.21596
110763.56,110777.14,110743.39,110743.39,22.3372
110743.4,110743.4,110674.09,110718.3,33.01119
110718.29,110759.97,110666.46,110717.65,13.79997
110717.64,110806.37,110717.64,110806.36,58.38041
110806.37,110900.0,110806.36,110849.36,48.17545
110849.36,110923.84,110764.97,110923.0,79.67646
110923.01,111025.95,110802.01,110893.7,161.61621
110893.69,111040.06,110843.37,110879.86,125.77658
110879.86,110993.23,110879.86,110880.01,154.30999
110880.02,110880.02,110646.64,110661.89,113.46992
110661.89,111052.43,110654.0,111008.04,197.64991
111008.03,111034.29,110922.9,110947.46,21.11803
110947.45,110947.45,110803.01,110879.19,47.4937
110879.19,110997.4,110838.78,110929.06,138.00979
110929.05,110943.34,110913.55,110939.08,5.24247
110939.09,111018.59,110889.99,111018.59,33.71918
111018.59,111096.24,110954.17,111074.2,27.23065
111074.21,111083.0,110951.44,111039.03,16.76946
111039.04,111100.0,111039.04,111085.57,34.80433
111085.57,111096.08,110934.9,110948.54,34.39561
110948.55,111018.6,110948.54,111007.73,6.45568
111007.73,111041.24,110927.23,110942.87,25.49036
110942.87,111048.0,110942.86,111047.99,12.30439
111047.99,111053.99,111031.64,111053.98,22.02257
111053.99,111075.64,111053.98,111073.11,21.54354
111073.12,111138.62,111055.69,111138.61,21.03667
111138.61,111138.62,111040.27,111060.45,14.55695
111060.46,111063.94,111004.95,111036.79,7.98498
111036.79,111043.46,110973.5,111031.81,19.28169
111031.81,111034.0,110965.5,110968.9,7.55384
110968.9,111059.04,110968.89,111023.01,11.29612
111023.01,111023.01,110927.77,110927.77,8.99084
110927.77,110927.78,110900.14,110900.14,5.3732
110900.14,110928.63,110900.14,110903.1,7.84759
110903.1,110936.9,110882.05,110930.87,12.7255
